Beta_PathLength,Beta_Curvature,Beta_Centering,Beta_HeadingError,LatAcceleration_UpperBound,LongidAcceleration_UpperBound,LongidDeceleration_UpperBound,Velocity_LowerBound,Velocity_UpperBound,LateralAcceleration,LongitudinalAcceleration,MaxLateralOffset_Left,MaxLateralOffset_Right,Time
0,0.1,0.9,0,1.2,1.2,1.2,40,60,0.681818181818182,0.7,0,0,1
0,0.2,0.8,0,1.2,1.2,1.2,40,60,0.681818181818182,0.7,0,0.2,1
0,0.5,0.5,0,1.2,1.2,1.2,40,60,0.681818181818182,0.7,0,0.4,1
0,0.8,0.2,0,1.2,1.2,1.2,40,60,0.681818181818182,0.7,0,0.6,1
0,1,0,0,1.2,1.2,1.2,40,60,0.681818181818182,0.7,0,0.8,1
0,0.1,0.9,0,1.6,1.2,1.2,40,60,0.681818181818182,1,0,0.8,0.888888888888889
0,0,1,0,2,1.2,1.2,40,60,0.681818181818182,1,0,0.8,0.777777777777778
0,0,1,0,1.2,1.6,1.6,40,60,0.681818181818182,1,0,1,0.777777777777778
0,0.1,0.9,0,1.2,1.6,1.6,40,60,0.909090909090909,1,0,1,1
0,0,1,0,1.6,1.6,1.6,40,60,0.909090909090909,1,0,1,0.888888888888889
0,0,1,0,2,1.6,1.6,40,60,0.909090909090909,1,0,1,0.777777777777778
0,0.1,0.9,0,1.2,2,2,40,60,0.954545454545455,1,0,1,1
0,0,1,0,1.6,2,2,40,60,0.954545454545455,1,0,1,0.888888888888889
0,0.1,0.9,0,2,2,2,40,60,0.954545454545455,1,0,1,0.777777777777778
0,0.2,0.8,0,1.2,2.4,2.4,40,60,0,0,0,0,0
0,0.7,0.3,0,2.4,2,2,40,60,0.0909090909090909,0.2,0,0.6,0.777777777777778
0,0.8,0.2,0,2.4,2,2,40,60,0.0909090909090909,0.2,0,0.8,0.777777777777778
0,0.9,0.1,0,2.4,2,2,40,60,0.136363636363636,0.2,0,0.8,0.777777777777778
0,1,0,0,2.4,2,2,40,60,0.136363636363636,0.2,0,1,0.777777777777778
0,0,1,0,1.2,2.4,2.4,40,60,1,0.8,0,1,1
0,0.1,0.9,0,1.6,2.4,2.4,40,60,1,0.9,0,1,0.888888888888889
0,0,1,0,2,2.4,2.4,40,60,1,0.9,0,1,0.777777777777778
